Período;ARS;Hospital;Localização Geográfica;DCI;Grupo Hospital;Valor Biossimilar;Valor Não Biossimilar;Quota Biossimilar
2019-02;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916,-7.2734793;Epoetina;Grupo B;18.0;72.0;20.0
2019-02;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;Etanercept;Grupo B;32.0;104.0;23.52941176470588
2019-02;Norte;Centro Hospitalar Povoa de Varzim / Vila do Conde;41.3828711,-8.7589945;Etanercept;Grupo B;12.0;0.0;100.0
2019-02;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234,-8.6171561;Etanercept;Grupo B;20.0;28.0;41.66666666666667
2019-02;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314,-8.6956768;Etanercept;Grupo B;0.0;100.0;0.0
2019-02;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;Filgrastim;Grupo B;105.0;0.0;100.0
2019-02;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897,-8.8586755;Filgrastim;Grupo B;30.0;0.0;100.0
2019-02;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;Infliximab;Grupo B;0.0;24.0;0.0
2019-02;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897,-8.8586755;Infliximab;Grupo B;40.0;40.0;50.0
2019-02;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314,-8.6956768;Infliximab;Grupo B;0.0;6.0;0.0
2019-02;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005,-9.0592392;Adalimumab;Grupo C;0.0;190.0;0.0
2019-02;Norte;Centro Hospitalar do Tamega e Sousa, E.P.E.;41.2494561,-8.264901;Adalimumab;Grupo C;0.0;132.0;0.0
2019-02;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005,-9.0592392;Enoxaparina sódica;Grupo C;1400.0;0.0;100.0
2019-02;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884,-8.5458794;Enoxaparina sódica;Grupo C;0.0;9000.0;0.0
2019-02;Norte;Centro Hospitalar do Tamega e Sousa, E.P.E.;41.2494561,-8.264901;Enoxaparina sódica;Grupo C;1662.0;3498.0;32.2093023255814
2019-02;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946,-8.6937515;Enoxaparina sódica;Grupo C;0.0;11406.0;0.0
2019-02;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456,-8.6745115;Enoxaparina sódica;Grupo C;0.0;2070.0;0.0
2019-02;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812,-8.7982706;Epoetina;Grupo C;84.0;0.0;100.0
2019-02;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158,-7.4922407;Epoetina;Grupo C;120.0;156.0;43.47826086956522
2019-02;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005,-9.0592392;Etanercept;Grupo C;24.0;188.0;11.320754716981133
2019-02;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754,-8.8818638;Etanercept;Grupo C;0.0;128.0;0.0
2019-02;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;Etanercept;Grupo C;36.0;84.0;30.0
2019-02;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005,-9.0592392;Filgrastim;Grupo C;100.0;0.0;100.0
2019-02;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;Filgrastim;Grupo C;440.0;0.0;100.0
2019-02;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946,-8.6937515;Filgrastim;Grupo C;180.0;0.0;100.0
2019-02;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456,-8.6745115;Filgrastim;Grupo C;200.0;0.0;100.0
2019-02;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;Infliximab;Grupo C;70.0;0.0;100.0
2019-02;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456,-8.6745115;Infliximab;Grupo C;160.0;0.0;100.0
2019-02;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425,-7.4263845;Rituximab;Grupo C;2.0;0.0;100.0
2019-02;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;Somatropina;Grupo C;0.0;4.0;0.0
2019-02;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425,-7.4263845;Trastuzumab;Grupo C;0.0;31.0;0.0
2019-02;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973,-7.9281554;Adalimumab;Grupo D;0.0;476.0;0.0
2019-02;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973,-7.9281554;Enoxaparina sódica;Grupo D;0.0;19806.0;0.0
2019-02;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;Epoetina;Grupo D;0.0;1948.0;0.0
2019-02;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138,-8.5972617;Etanercept;Grupo D;148.0;84.0;63.793103448275865
2019-02;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138,-8.5972617;Filgrastim;Grupo D;250.0;0.0;100.0
2019-02;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973,-7.9281554;Filgrastim;Grupo D;540.0;0.0;100.0
2019-02;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257,-9.2264834;Filgrastim;Grupo D;200.0;0.0;100.0
2019-02;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713,-9.1822554;Rituximab;Grupo D;105.0;25.0;80.76923076923077
2019-02;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364,-8.0827433;Trastuzumab;Grupo D;10.0;32.0;23.809523809523807
2019-02;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523,-8.4098211;Epoetina;Grupo E;0.0;2116.0;0.0
2019-02;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454,-9.216985;Etanercept;Grupo E;308.0;192.0;61.6
2019-02;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523,-8.4098211;Etanercept;Grupo E;800.0;100.0;88.88888888888889
2019-02;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454,-9.216985;Infliximab;Grupo E;180.0;40.0;81.81818181818183
2019-02;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523,-8.4098211;Rituximab;Grupo E;21.0;0.0;100.0
2019-02;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948,-9.1371248;Rituximab;Grupo E;120.0;0.0;100.0
2019-02;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056,-8.6010558;Somatropina;Grupo E;0.0;212.0;0.0
2019-02;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948,-9.1371248;Somatropina;Grupo E;33.0;280.0;10.543130990415335
2019-02;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;Trastuzumab;Grupo E;40.0;80.0;33.33333333333333
2019-02;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;Trastuzumab;Grupo E;0.0;130.0;0.0
2019-02;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514,-8.4103814;Enoxaparina sódica;Grupo F;0.0;420.0;0.0
2019-02;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642,-8.6062881;Enoxaparina sódica;Grupo F;0.0;4500.0;0.0
2019-02;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514,-8.4103814;Filgrastim;Grupo F;500.0;0.0;100.0
2019-02;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642,-8.6062881;Filgrastim;Grupo F;3000.0;0.0;100.0
2019-02;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642,-8.6062881;Rituximab;Grupo F;0.0;160.0;0.0
2019-02;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768,-9.1634516;Trastuzumab;Grupo F;279.0;140.0;66.5871121718377
2019-03;Norte;Centro Hospitalar Povoa de Varzim / Vila do Conde;41.3828711,-8.7589945;Enoxaparina sódica;Grupo B;2460.0;0.0;100.0
2019-03;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234,-8.6171561;Enoxaparina sódica;Grupo B;2640.0;0.0;100.0
2019-03;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916,-7.2734793;Enoxaparina sódica;Grupo B;1500.0;1620.0;48.07692307692308
2019-03;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;Etanercept;Grupo B;16.0;212.0;7.017543859649122
2019-03;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916,-7.2734793;Etanercept;Grupo B;0.0;108.0;0.0
2019-03;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263,-7.4981271;Etanercept;Grupo B;60.0;68.0;46.875
2019-03;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314,-8.6956768;Etanercept;Grupo B;0.0;100.0;0.0
2019-03;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897,-8.8586755;Trastuzumab;Grupo B;0.0;2.0;0.0
2019-03;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754,-8.8818638;Adalimumab;Grupo C;0.0;50.0;0.0
2019-03;Norte;Centro Hospitalar do Tamega e Sousa, E.P.E.;41.2494561,-8.264901;Adalimumab;Grupo C;0.0;134.0;0.0
2019-03;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158,-7.4922407;Adalimumab;Grupo C;0.0;52.0;0.0
2019-03;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456,-8.6745115;Adalimumab;Grupo C;0.0;300.0;0.0
2019-03;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812,-8.7982706;Enoxaparina sódica;Grupo C;0.0;11460.0;0.0
2019-03;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946,-8.6937515;Enoxaparina sódica;Grupo C;5424.0;-4320.0;100.0
2019-03;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072,-8.5404429;Epoetina;Grupo C;0.0;8.0;0.0
2019-03;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158,-7.4922407;Epoetina;Grupo C;260.0;432.0;37.57225433526011
2019-03;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005,-9.0592392;Etanercept;Grupo C;0.0;8.0;0.0
2019-03;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884,-8.5458794;Etanercept;Grupo C;224.0;208.0;51.85185185185185
2019-03;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072,-8.5404429;Etanercept;Grupo C;0.0;276.0;0.0
2019-03;Norte;Centro Hospitalar do Tamega e Sousa, E.P.E.;41.2494561,-8.264901;Etanercept;Grupo C;36.0;48.0;42.857142857142854
2019-03;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158,-7.4922407;Etanercept;Grupo C;0.0;16.0;0.0
2019-03;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946,-8.6937515;Etanercept;Grupo C;232.0;68.0;77.33333333333333
2019-03;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054,-8.8252713;Etanercept;Grupo C;132.0;136.0;49.25373134328358
2019-03;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123,-7.8721227;Etanercept;Grupo C;24.0;96.0;20.0
2019-03;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072,-8.5404429;Filgrastim;Grupo C;65.0;0.0;100.0
2019-03;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456,-8.6745115;Filgrastim;Grupo C;400.0;0.0;100.0
2019-03;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812,-8.7982706;Infliximab;Grupo C;90.0;120.0;42.857142857142854
2019-03;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158,-7.4922407;Infliximab;Grupo C;8.0;0.0;100.0
2019-03;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884,-8.5458794;Rituximab;Grupo C;16.0;0.0;100.0
2019-03;Norte;Centro Hospitalar do Tamega e Sousa, E.P.E.;41.2494561,-8.264901;Rituximab;Grupo C;8.0;0.0;100.0
2019-03;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054,-8.8252713;Somatropina;Grupo C;0.0;32.0;0.0
2019-03;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884,-8.5458794;Trastuzumab;Grupo C;0.0;8.0;0.0
2019-03;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812,-8.7982706;Trastuzumab;Grupo C;11.0;1.0;91.66666666666666
2019-03;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138,-8.5972617;Adalimumab;Grupo D;0.0;124.0;0.0
2019-03;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973,-7.9281554;Adalimumab;Grupo D;0.0;370.0;0.0
2019-03;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;Enoxaparina sódica;Grupo D;10992.0;1800.0;85.92870544090057
2019-03;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713,-9.1822554;Enoxaparina sódica;Grupo D;6624.0;0.0;100.0
2019-03;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;Epoetina;Grupo D;0.0;1100.0;0.0
2019-03;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364,-8.0827433;Epoetina;Grupo D;0.0;1008.0;0.0
2019-03;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;Etanercept;Grupo D;60.0;144.0;29.411764705882355
2019-03;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;Filgrastim;Grupo D;1290.0;0.0;100.0
2019-03;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713,-9.1822554;Filgrastim;Grupo D;400.0;0.0;100.0
2019-03;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257,-9.2264834;Infliximab;Grupo D;135.0;50.0;72.97297297297297
2019-03;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257,-9.2264834;Somatropina;Grupo D;0.0;392.0;0.0
2019-03;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138,-8.5972617;Trastuzumab;Grupo D;0.0;30.0;0.0
2019-03;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257,-9.2264834;Trastuzumab;Grupo D;50.0;0.0;100.0
2019-03;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;Epoetina;Grupo E;0.0;172.0;0.0
2019-03;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523,-8.4098211;Etanercept;Grupo E;632.0;24.0;96.34146341463415
2019-03;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;Infliximab;Grupo E;920.0;200.0;82.14285714285714
2019-03;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;Rituximab;Grupo E;30.0;76.0;28.30188679245283
2019-03;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;Somatropina;Grupo E;95.0;141.0;40.25423728813559
2019-03;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768,-9.1634516;Enoxaparina sódica;Grupo F;3300.0;-162.0;100.0
2019-03;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768,-9.1634516;Rituximab;Grupo F;140.0;130.0;51.85185185185185
2019-03;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642,-8.6062881;Somatropina;Grupo F;0.0;3.0;0.0
2019-03;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;Enoxaparina sódica;Psiquiátricos;270.0;0.0;100.0
2019-04;Centro;Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais;40.297919,-8.7707806;Enoxaparina sódica;Grupo A;2010.0;0.0;100.0
2019-04;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967,-8.6318023;Enoxaparina sódica;Grupo A;0.0;786.0;0.0
2019-04;Norte;Centro Hospitalar Povoa de Varzim / Vila do Conde;41.3828711,-8.7589945;Enoxaparina sódica;Grupo B;1740.0;0.0;100.0
2019-04;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897,-8.8586755;Epoetina;Grupo B;30.0;0.0;100.0
2019-04;Norte;Centro Hospitalar do Medio Ave, E.P.E.;41.3423984,-8.4802503;Etanercept;Grupo B;0.0;68.0;0.0
2019-04;Norte;Centro Hospitalar Povoa de Varzim / Vila do Conde;41.3828711,-8.7589945;Etanercept;Grupo B;12.0;0.0;100.0
2019-04;Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532,-6.7888197;Etanercept;Grupo B;0.0;80.0;0.0
2019-04;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897,-8.8586755;Filgrastim;Grupo B;15.0;0.0;100.0
2019-04;Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532,-6.7888197;Filgrastim;Grupo B;40.0;0.0;100.0
2019-04;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314,-8.6956768;Infliximab;Grupo B;0.0;6.0;0.0
2019-04;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897,-8.8586755;Rituximab;Grupo B;30.0;1.0;96.7741935483871
2019-04;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;Trastuzumab;Grupo B;14.0;0.0;100.0
2019-04;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054,-8.8252713;Adalimumab;Grupo C;50.0;218.0;18.65671641791045
2019-04;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158,-7.4922407;Enoxaparina sódica;Grupo C;4818.0;0.0;100.0
2019-04;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946,-8.6937515;Enoxaparina sódica;Grupo C;7584.0;0.0;100.0
2019-04;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456,-8.6745115;Enoxaparina sódica;Grupo C;4320.0;450.0;90.56603773584906
2019-04;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054,-8.8252713;Enoxaparina sódica;Grupo C;5700.0;588.0;90.64885496183206
2019-04;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884,-8.5458794;Epoetina;Grupo C;0.0;76.0;0.0
2019-04;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173,-8.3086907;Etanercept;Grupo C;60.0;288.0;17.24137931034483
2019-04;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884,-8.5458794;Filgrastim;Grupo C;300.0;0.0;100.0
2019-04;Norte;Centro Hospitalar do Tamega e Sousa, E.P.E.;41.2494561,-8.264901;Infliximab;Grupo C;160.0;0.0;100.0
2019-04;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456,-8.6745115;Infliximab;Grupo C;140.0;20.0;87.5
2019-04;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;Rituximab;Grupo C;36.0;4.0;90.0
2019-04;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072,-8.5404429;Rituximab;Grupo C;4.0;0.0;100.0
2019-04;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173,-8.3086907;Rituximab;Grupo C;3.0;0.0;100.0
2019-04;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946,-8.6937515;Rituximab;Grupo C;26.0;0.0;100.0
2019-04;Norte;Centro Hospitalar do Tamega e Sousa, E.P.E.;41.2494561,-8.264901;Somatropina;Grupo C;10.0;22.0;31.25
2019-04;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054,-8.8252713;Somatropina;Grupo C;0.0;57.0;0.0
2019-04;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173,-8.3086907;Trastuzumab;Grupo C;0.0;15.0;0.0
2019-04;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456,-8.6745115;Trastuzumab;Grupo C;0.0;50.0;0.0
2019-04;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425,-7.4263845;Trastuzumab;Grupo C;0.0;39.0;0.0
2019-04;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364,-8.0827433;Adalimumab;Grupo D;0.0;490.0;0.0
2019-04;Alentejo;Hospital Espírito Santo, E.P.E. - Evora;38.5684861,-7.9032848;Adalimumab;Grupo D;0.0;400.0;0.0
2019-04;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713,-9.1822554;Adalimumab;Grupo D;120.0;240.0;33.33333333333333
2019-04;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;Enoxaparina sódica;Grupo D;11796.0;7560.0;60.94234345939243
2019-04;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138,-8.5972617;Enoxaparina sódica;Grupo D;10200.0;0.0;100.0
2019-04;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364,-8.0827433;Enoxaparina sódica;Grupo D;0.0;13194.0;0.0
2019-04;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364,-8.0827433;Etanercept;Grupo D;240.0;100.0;70.58823529411765
2019-04;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713,-9.1822554;Etanercept;Grupo D;200.0;48.0;80.64516129032258
2019-04;Alentejo;Hospital Espírito Santo, E.P.E. - Evora;38.5684861,-7.9032848;Filgrastim;Grupo D;200.0;0.0;100.0
2019-04;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257,-9.2264834;Filgrastim;Grupo D;120.0;0.0;100.0
2019-04;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713,-9.1822554;Infliximab;Grupo D;300.0;0.0;100.0
2019-04;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138,-8.5972617;Rituximab;Grupo D;20.0;10.0;66.66666666666666
2019-04;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713,-9.1822554;Somatropina;Grupo D;15.0;0.0;100.0
2019-04;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454,-9.216985;Adalimumab;Grupo E;0.0;114.0;0.0
2019-04;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;Adalimumab;Grupo E;0.0;1040.0;0.0
2019-04;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948,-9.1371248;Adalimumab;Grupo E;0.0;1008.0;0.0
2019-04;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;Epoetina;Grupo E;0.0;218.0;0.0
2019-04;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;Epoetina;Grupo E;0.0;3480.0;0.0
2019-04;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523,-8.4098211;Etanercept;Grupo E;356.0;488.0;42.18009478672986
2019-04;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;Etanercept;Grupo E;680.0;800.0;45.94594594594595
2019-04;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;Filgrastim;Grupo E;900.0;0.0;100.0
2019-04;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;Filgrastim;Grupo E;900.0;0.0;100.0
2019-04;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454,-9.216985;Infliximab;Grupo E;0.0;40.0;0.0
2019-04;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948,-9.1371248;Infliximab;Grupo E;100.0;62.0;61.72839506172839
2019-04;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523,-8.4098211;Somatropina;Grupo E;50.0;302.0;14.204545454545455
2019-04;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768,-9.1634516;Filgrastim;Grupo F;1350.0;0.0;100.0
2019-04;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768,-9.1634516;Infliximab;Grupo F;200.0;0.0;100.0
2019-04;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514,-8.4103814;Rituximab;Grupo F;30.0;20.0;60.0
2019-04;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768,-9.1634516;Somatropina;Grupo F;0.0;500.0;0.0
2019-04;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642,-8.6062881;Somatropina;Grupo F;0.0;12.0;0.0
2019-04;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514,-8.4103814;Trastuzumab;Grupo F;110.0;390.0;22.0
2019-05;Norte;Centro Hospitalar Povoa de Varzim / Vila do Conde;41.3828711,-8.7589945;Adalimumab;Grupo B;0.0;14.0;0.0
2019-05;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234,-8.6171561;Adalimumab;Grupo B;0.0;30.0;0.0
2019-05;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;Etanercept;Grupo B;20.0;76.0;20.833333333333336
2019-05;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897,-8.8586755;Infliximab;Grupo B;30.0;20.0;60.0
2019-05;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263,-7.4981271;Infliximab;Grupo B;0.0;20.0;0.0
2019-05;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812,-8.7982706;Adalimumab;Grupo C;0.0;180.0;0.0
2019-05;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;Adalimumab;Grupo C;0.0;114.0;0.0
2019-05;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173,-8.3086907;Adalimumab;Grupo C;0.0;410.0;0.0
2019-05;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946,-8.6937515;Adalimumab;Grupo C;0.0;24.0;0.0
2019-05;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054,-8.8252713;Adalimumab;Grupo C;0.0;180.0;0.0
2019-05;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754,-8.8818638;Enoxaparina sódica;Grupo C;5658.0;0.0;100.0
2019-05;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;Enoxaparina sódica;Grupo C;0.0;7500.0;0.0
2019-05;Norte;Centro Hospitalar do Tamega e Sousa, E.P.E.;41.2494561,-8.264901;Enoxaparina sódica;Grupo C;7290.0;0.0;100.0
