Período,Região,Grupo Terapêutico,Encargos SNS (Ambulatório)
2015-01,Norte,Medicamentos usados em afecções oculares,626405.5
2015-01,Alentejo,Medicamentos usados no tratamento de intoxicações,2979.38
2015-01,Algarve,Medicamentos usados no tratamento de intoxicações,4838.46
2015-01,Lisboa,Medicamentos usados no tratamento de intoxicações,33056.92
2015-01,Algarve,Nutrição e metabolismo,1473.56
2015-01,Lisboa,Sangue,2022824.13
2015-01,Algarve,Sistema nervoso central,839375.13
2015-01,Centro,Sistema nervoso central,5699315.67
2015-01,Alentejo,Vacinas e imunoglobulinas,1836.59
2015-01,Lisboa,Vacinas e imunoglobulinas,37427.7
2015-01,Norte,Vacinas e imunoglobulinas,33569.83
2015-02,Centro,Aparelho cardiovascular,5578770.28
2015-02,Lisboa,Aparelho cardiovascular,7325346.28
2015-02,Centro,Aparelho digestivo,626724.6
2015-02,Norte,Aparelho digestivo,911380.28
2015-02,Alentejo,Aparelho locomotor,186705.51
2015-02,Centro,Aparelho locomotor,1168606.23
2015-02,Lisboa,Aparelho respiratório,2566297.76
2015-02,Norte,Hormonas e medicamentos usados no tratamento das doenças endócrinas,6666439.49
2015-02,Centro,Medicação antialérgica,123467.87
2015-02,Centro,Medicamentos anti-infecciosos,1067645.45
2015-02,Alentejo,Medicamentos antineoplásicos e imunomoduladores,30222.82
2015-02,Algarve,Medicamentos antineoplásicos e imunomoduladores,29366.19
2015-02,Centro,Medicamentos antineoplásicos e imunomoduladores,162227.28
2015-02,Algarve,Medicamentos usados em afecções cutâneas,34618.48
2015-02,Centro,Medicamentos usados em afecções cutâneas,202983.21
2015-02,Algarve,Medicamentos usados em afecções otorrinolaringológicas,10003.51
2015-02,Algarve,Medicamentos usados no tratamento de intoxicações,3684.08
2015-02,Norte,Nutrição e metabolismo,10875.21
2015-02,Algarve,Sangue,206728.61
2015-02,Centro,Sangue,1594522.66
2015-02,Lisboa,Sistema nervoso central,7846991.47
2015-03,Alentejo,Aparelho cardiovascular,1253180.7
2015-03,Algarve,Aparelho cardiovascular,938744.48
2015-03,Algarve,Aparelho digestivo,106661.17
2015-03,Norte,Aparelho digestivo,993104.17
2015-03,Algarve,Aparelho geniturinário,85185.17
2015-03,Alentejo,Aparelho respiratório,289191.91
2015-03,Centro,Correctivos da volémia e das alterações electrolíticas,2888.33
2015-03,Alentejo,Hormonas e medicamentos usados no tratamento das doenças endócrinas,990763.8
2015-03,Centro,Medicação antialérgica,119080.05
2015-03,Alentejo,Medicamentos anti-infecciosos,178977.32
2015-03,Norte,Medicamentos anti-infecciosos,1408498.62
2015-03,Alentejo,Medicamentos usados em afecções cutâneas,30203.87
2015-03,Algarve,Medicamentos usados em afecções cutâneas,37937.52
2015-03,Algarve,Medicamentos usados em afecções oculares,77638.22
2015-03,Algarve,Medicamentos usados no tratamento de intoxicações,1698.77
2015-03,Norte,Medicamentos usados no tratamento de intoxicações,2736.81
2015-03,Norte,Nutrição e metabolismo,11969.08
2015-03,Norte,Sangue,1718222.92
2015-03,Algarve,Sistema nervoso central,854490.22
2015-03,Lisboa,Sistema nervoso central,8482708.5
2015-03,Lisboa,Vacinas e imunoglobulinas,29356.5
2015-03,Norte,Vacinas e imunoglobulinas,20607.77
2015-04,Alentejo,Aparelho digestivo,128445.6
2015-04,Algarve,Aparelho geniturinário,80167.42
2015-04,Centro,Aparelho geniturinário,563264.94
2015-04,Norte,Aparelho respiratório,2389139.69
2015-04,Norte,Correctivos da volémia e das alterações electrolíticas,2096.16
2015-04,Norte,Hormonas e medicamentos usados no tratamento das doenças endócrinas,7286959.81
2015-04,Lisboa,Medicamentos antineoplásicos e imunomoduladores,296285.3
2015-04,Lisboa,Medicamentos usados em afecções cutâneas,363732.0
2015-04,Algarve,Medicamentos usados em afecções otorrinolaringológicas,7319.86
2015-04,Norte,Medicamentos usados em afecções otorrinolaringológicas,65032.84
2015-04,Lisboa,Nutrição e metabolismo,16298.83
2015-04,Norte,Sistema nervoso central,6415253.63
2015-04,Norte,Vacinas e imunoglobulinas,21644.87
2015-05,Lisboa,Aparelho cardiovascular,7718308.51
2015-05,Centro,Aparelho geniturinário,565683.04
2015-05,Lisboa,Aparelho geniturinário,606262.09
2015-05,Centro,Aparelho locomotor,1204699.15
2015-05,Lisboa,Aparelho locomotor,1588722.45
2015-05,Norte,Aparelho locomotor,1493627.74
2015-05,Algarve,Aparelho respiratório,230214.76
2015-05,Algarve,Correctivos da volémia e das alterações electrolíticas,129.24
2015-05,Alentejo,Hormonas e medicamentos usados no tratamento das doenças endócrinas,957380.53
2015-05,Norte,Medicação antialérgica,158158.49
2015-05,Lisboa,Medicamentos antineoplásicos e imunomoduladores,285984.32
2015-05,Norte,Medicamentos antineoplásicos e imunomoduladores,266120.5
2015-05,Alentejo,Medicamentos usados em afecções cutâneas,28131.78
2015-05,Algarve,Medicamentos usados em afecções cutâneas,42381.85
2015-05,Algarve,Medicamentos usados em afecções oculares,79705.83
2015-05,Centro,Nutrição e metabolismo,11212.18
2015-05,Algarve,Sangue,228148.21
2015-05,Centro,Sistema nervoso central,5286685.69
2015-05,Algarve,Vacinas e imunoglobulinas,2014.96
2015-06,Lisboa,Aparelho geniturinário,612014.8
2015-06,Lisboa,Hormonas e medicamentos usados no tratamento das doenças endócrinas,7087761.71
2015-06,Norte,Medicamentos anti-infecciosos,1154906.21
2015-06,Alentejo,Medicamentos antineoplásicos e imunomoduladores,30047.53
2015-06,Algarve,Medicamentos antineoplásicos e imunomoduladores,30986.66
2015-06,Lisboa,Medicamentos usados em afecções otorrinolaringológicas,93239.83
2015-06,Norte,Medicamentos usados em afecções otorrinolaringológicas,50859.01
2015-06,Alentejo,Medicamentos usados no tratamento de intoxicações,246.95
2015-06,Algarve,Medicamentos usados no tratamento de intoxicações,10457.63
2015-06,Centro,Medicamentos usados no tratamento de intoxicações,13793.01
2015-06,Algarve,Nutrição e metabolismo,1401.92
2015-06,Centro,Sangue,1877777.96
2015-06,Alentejo,Sistema nervoso central,1087863.27
2015-06,Algarve,Sistema nervoso central,798781.27
2015-06,Centro,Sistema nervoso central,5372130.62
2015-07,Lisboa,Aparelho cardiovascular,8341566.77
2015-07,Algarve,Aparelho digestivo,108704.04
2015-07,Alentejo,Aparelho geniturinário,104998.11
2015-07,Centro,Aparelho geniturinário,617971.86
2015-07,Algarve,Aparelho locomotor,202287.39
2015-07,Algarve,Aparelho respiratório,217303.87
2015-07,Centro,Aparelho respiratório,1556271.43
2015-07,Lisboa,Aparelho respiratório,2415306.61
2015-07,Algarve,Correctivos da volémia e das alterações electrolíticas,193.53
2015-07,Lisboa,Correctivos da volémia e das alterações electrolíticas,4352.23
2015-07,Norte,Correctivos da volémia e das alterações electrolíticas,2511.06
2015-07,Alentejo,Hormonas e medicamentos usados no tratamento das doenças endócrinas,1053234.03
2015-07,Centro,Medicação antialérgica,96627.7
2015-07,Norte,Medicamentos anti-infecciosos,1198190.01
2015-07,Centro,Medicamentos usados em afecções cutâneas,245893.5
2015-07,Norte,Medicamentos usados em afecções cutâneas,372522.63
2015-07,Alentejo,Medicamentos usados em afecções oculares,110171.98
2015-07,Algarve,Medicamentos usados em afecções oculares,90929.45
2015-07,Centro,Medicamentos usados em afecções otorrinolaringológicas,38709.42
2015-07,Alentejo,Nutrição e metabolismo,2247.29
2015-07,Alentejo,Sangue,296738.52
2015-07,Centro,Vacinas e imunoglobulinas,33044.44
2015-08,Algarve,Aparelho cardiovascular,917946.86
2015-08,Lisboa,Aparelho cardiovascular,6902219.72
2015-08,Algarve,Aparelho digestivo,106085.52
2015-08,Norte,Aparelho geniturinário,572286.59
2015-08,Alentejo,Aparelho locomotor,181702.15
2015-08,Algarve,Aparelho locomotor,192493.25
2015-08,Norte,Aparelho locomotor,1355654.44
2015-08,Centro,Aparelho respiratório,1424061.74
2015-08,Alentejo,Correctivos da volémia e das alterações electrolíticas,673.76
2015-08,Lisboa,Correctivos da volémia e das alterações electrolíticas,3469.79
2015-08,Algarve,Hormonas e medicamentos usados no tratamento das doenças endócrinas,898457.94
2015-08,Centro,Medicamentos antineoplásicos e imunomoduladores,164408.85
2015-08,Lisboa,Medicamentos antineoplásicos e imunomoduladores,259765.07
2015-08,Centro,Medicamentos usados em afecções otorrinolaringológicas,33586.8
2015-08,Algarve,Medicamentos usados no tratamento de intoxicações,12414.06
2015-08,Lisboa,Medicamentos usados no tratamento de intoxicações,27291.4
2015-08,Algarve,Nutrição e metabolismo,2828.5
2015-08,Centro,Nutrição e metabolismo,19073.29
2015-08,Norte,Sistema nervoso central,5756049.83
2015-08,Alentejo,Vacinas e imunoglobulinas,3430.87
2015-09,Alentejo,Aparelho cardiovascular,1205498.82
2015-09,Lisboa,Aparelho cardiovascular,7502990.13
2015-09,Algarve,Aparelho geniturinário,87855.22
2015-09,Alentejo,Correctivos da volémia e das alterações electrolíticas,600.06
2015-09,Centro,Medicamentos anti-infecciosos,781986.78
2015-09,Norte,Medicamentos anti-infecciosos,1133489.15
2015-09,Algarve,Medicamentos antineoplásicos e imunomoduladores,34445.28
2015-09,Alentejo,Medicamentos usados em afecções cutâneas,26353.34
2015-09,Algarve,Medicamentos usados em afecções cutâneas,37792.02
2015-09,Centro,Medicamentos usados em afecções otorrinolaringológicas,45505.16
2015-09,Norte,Medicamentos usados em afecções otorrinolaringológicas,55448.56
2015-09,Norte,Sangue,1886982.78
2015-09,Alentejo,Sistema nervoso central,1064226.15
2015-09,Lisboa,Vacinas e imunoglobulinas,68541.82
2015-10,Lisboa,Aparelho cardiovascular,7944977.03
2015-10,Centro,Aparelho digestivo,735137.92
2015-10,Alentejo,Aparelho locomotor,201267.75
2015-10,Algarve,Correctivos da volémia e das alterações electrolíticas,227.04
2015-10,Alentejo,Medicamentos anti-infecciosos,153762.98
2015-10,Alentejo,Medicamentos antineoplásicos e imunomoduladores,34047.36
2015-10,Algarve,Medicamentos antineoplásicos e imunomoduladores,33343.21
2015-10,Lisboa,Medicamentos antineoplásicos e imunomoduladores,320049.02
2015-10,Norte,Medicamentos usados em afecções oculares,705340.49
2015-10,Algarve,Medicamentos usados no tratamento de intoxicações,892.12
2015-10,Alentejo,Nutrição e metabolismo,4745.16
2015-10,Norte,Nutrição e metabolismo,40569.01
2015-10,Norte,Sistema nervoso central,6383120.99
2015-10,Algarve,Vacinas e imunoglobulinas,20747.91
2015-11,Centro,Aparelho cardiovascular,5918376.48
2015-11,Lisboa,Aparelho digestivo,1051800.84
2015-11,Norte,Aparelho digestivo,1022635.28
2015-11,Algarve,Aparelho locomotor,181090.66
2015-11,Lisboa,Aparelho locomotor,1585683.56
2015-11,Centro,Aparelho respiratório,1660816.15
2015-11,Lisboa,Aparelho respiratório,2596091.32
2015-11,Lisboa,Correctivos da volémia e das alterações electrolíticas,3906.51
2015-11,Norte,Correctivos da volémia e das alterações electrolíticas,2479.26
2015-11,Centro,Hormonas e medicamentos usados no tratamento das doenças endócrinas,5738744.22
2015-11,Norte,Hormonas e medicamentos usados no tratamento das doenças endócrinas,7493597.74
2015-11,Norte,Medicação antialérgica,137395.77
2015-11,Norte,Medicamentos usados em afecções otorrinolaringológicas,60436.94
2015-11,Lisboa,Medicamentos usados no tratamento de intoxicações,27828.47
2015-11,Centro,Nutrição e metabolismo,30222.33
2015-11,Alentejo,Sangue,294101.7
2015-11,Norte,Sangue,1986815.35
2015-11,Alentejo,Sistema nervoso central,1062666.55
2015-11,Norte,Sistema nervoso central,6091736.93
2015-11,Lisboa,Vacinas e imunoglobulinas,185994.8
2015-11,Norte,Vacinas e imunoglobulinas,199737.32
2015-12,Alentejo,Aparelho cardiovascular,1212234.53
2015-12,Algarve,Aparelho cardiovascular,944169.36
2015-12,Lisboa,Aparelho digestivo,1107221.15
2015-12,Norte,Aparelho geniturinário,603207.0
2015-12,Centro,Aparelho locomotor,1197844.57
2015-12,Alentejo,Aparelho respiratório,286185.78
2015-12,Centro,Medicamentos anti-infecciosos,888245.31
2015-12,Algarve,Medicamentos antineoplásicos e imunomoduladores,36243.45
2015-12,Lisboa,Medicamentos antineoplásicos e imunomoduladores,311544.07
2015-12,Alentejo,Medicamentos usados em afecções cutâneas,25362.94
2015-12,Algarve,Medicamentos usados no tratamento de intoxicações,2398.44
2015-12,Centro,Nutrição e metabolismo,30787.26
2015-12,Alentejo,Sangue,304010.6
2015-12,Algarve,Sangue,275355.2
2015-12,Lisboa,Sangue,2637902.56
2015-12,Norte,Sangue,2042044.11
2015-12,Alentejo,Sistema nervoso central,1089624.43
2015-12,Lisboa,Vacinas e imunoglobulinas,107606.96
2016-01,Alentejo,Aparelho cardiovascular,1113711.01
2016-01,Algarve,Aparelho cardiovascular,882894.84
2016-01,Lisboa,Aparelho cardiovascular,7518974.44
2016-01,Alentejo,Aparelho digestivo,126022.91
2016-01,Lisboa,Aparelho digestivo,1034062.07
2016-01,Norte,Aparelho digestivo,1012929.31
2016-01,Algarve,Aparelho geniturinário,84522.62
2016-01,Centro,Aparelho geniturinário,590564.02
2016-01,Norte,Aparelho locomotor,1406027.86
2016-01,Algarve,Aparelho respiratório,248830.82
2016-01,Lisboa,Aparelho respiratório,2772705.85
2016-01,Alentejo,Correctivos da volémia e das alterações electrolíticas,633.62
2016-01,Algarve,Correctivos da volémia e das alterações electrolíticas,100.02
2016-01,Norte,Hormonas e medicamentos usados no tratamento das doenças endócrinas,7483992.17
2016-01,Algarve,Medicamentos antineoplásicos e imunomoduladores,32467.84
2016-01,Alentejo,Medicamentos usados em afecções cutâneas,24311.78
2016-01,Algarve,Medicamentos usados em afecções cutâneas,36550.74
2016-01,Lisboa,Medicamentos usados em afecções oculares,941704.99
2016-01,Centro,Medicamentos usados no tratamento de intoxicações,9929.65
2016-01,Algarve,Nutrição e metabolismo,3812.46
2016-01,Lisboa,Nutrição e metabolismo,44498.9
2016-01,Alentejo,Sangue,291209.24
2016-01,Alentejo,Vacinas e imunoglobulinas,3674.72
2016-02,Lisboa,Aparelho cardiovascular,7359237.46
2016-02,Alentejo,Aparelho geniturinário,92771.55
2016-02,Alentejo,Aparelho respiratório,283298.57
2016-02,Norte,Aparelho respiratório,2487831.39
2016-02,Norte,Correctivos da volémia e das alterações electrolíticas,2636.18
2016-02,Algarve,Medicação antialérgica,19789.29
2016-02,Alentejo,Medicamentos anti-infecciosos,169968.52
2016-02,Alentejo,Medicamentos antineoplásicos e imunomoduladores,30512.84
2016-02,Centro,Medicamentos antineoplásicos e imunomoduladores,160323.23
2016-02,Algarve,Medicamentos usados em afecções otorrinolaringológicas,7993.91
2016-02,Centro,Medicamentos usados em afecções otorrinolaringológicas,49527.49
2016-02,Norte,Medicamentos usados em afecções otorrinolaringológicas,59529.75
2016-02,Alentejo,Medicamentos usados no tratamento de intoxicações,2877.11
2016-02,Norte,Medicamentos usados no tratamento de intoxicações,2371.04
2016-02,Norte,Nutrição e metabolismo,52173.76
2016-02,Algarve,Sangue,274691.29
2016-03,Algarve,Aparelho cardiovascular,944126.16
2016-03,Centro,Aparelho digestivo,732793.11
2016-03,Alentejo,Aparelho geniturinário,99009.97
2016-03,Lisboa,Aparelho geniturinário,656370.76
2016-03,Norte,Aparelho respiratório,2639643.51
2016-03,Norte,Correctivos da volémia e das alterações electrolíticas,2248.01
2016-03,Centro,Hormonas e medicamentos usados no tratamento das doenças endócrinas,5917365.84
2016-03,Algarve,Medicamentos usados em afecções cutâneas,41540.48
2016-03,Norte,Medicamentos usados em afecções cutâneas,335704.01
2016-03,Alentejo,Medicamentos usados em afecções oculares,104539.38
2016-03,Lisboa,Medicamentos usados em afecções otorrinolaringológicas,129380.3
2016-03,Centro,Medicamentos usados no tratamento de intoxicações,11034.48
2016-03,Lisboa,Sistema nervoso central,7748568.48
2016-04,Lisboa,Aparelho cardiovascular,7630332.39
2016-04,Norte,Aparelho digestivo,1053000.47
2016-04,Alentejo,Aparelho respiratório,283710.96
2016-04,Alentejo,Correctivos da volémia e das alterações electrolíticas,659.85
2016-04,Centro,Hormonas e medicamentos usados no tratamento das doenças endócrinas,5770283.53
2016-04,Norte,Hormonas e medicamentos usados no tratamento das doenças endócrinas,7661133.82
2016-04,Lisboa,Medicação antialérgica,221213.45
2016-04,Alentejo,Medicamentos anti-infecciosos,165119.21
2016-04,Lisboa,Medicamentos antineoplásicos e imunomoduladores,307514.93
2016-04,Alentejo,Medicamentos usados em afecções oculares,102530.91
2016-04,Centro,Medicamentos usados em afecções oculares,662512.05
2016-04,Norte,Medicamentos usados em afecções oculares,673933.67
2016-04,Lisboa,Sangue,2723818.16
2016-04,Alentejo,Sistema nervoso central,1040587.19
2016-05,Algarve,Aparelho cardiovascular,920251.67
2016-05,Centro,Aparelho cardiovascular,5910641.49
2016-05,Norte,Aparelho cardiovascular,6658376.53
2016-05,Alentejo,Aparelho geniturinário,98945.52
2016-05,Centro,Aparelho geniturinário,592223.77
2016-05,Norte,Aparelho geniturinário,630358.32
2016-05,Algarve,Aparelho locomotor,182586.33
2016-05,Norte,Aparelho locomotor,1460235.97
2016-05,Centro,Correctivos da volémia e das alterações electrolíticas,3381.88
2016-05,Alentejo,Medicação antialérgica,32828.07
2016-05,Alentejo,Medicamentos antineoplásicos e imunomoduladores,30779.95
2016-05,Alentejo,Medicamentos usados em afecções cutâneas,27396.34
2016-05,Alentejo,Medicamentos usados em afecções otorrinolaringológicas,12035.61
2016-05,Alentejo,Medicamentos usados no tratamento de intoxicações,336.32
2016-05,Centro,Medicamentos usados no tratamento de intoxicações,10388.77
2016-05,Norte,Medicamentos usados no tratamento de intoxicações,5409.58
2016-05,Alentejo,Nutrição e metabolismo,6079.39
2016-05,Lisboa,Vacinas e imunoglobulinas,46849.36
2016-06,Centro,Aparelho digestivo,702136.01
2016-06,Centro,Aparelho geniturinário,573868.13
2016-06,Lisboa,Aparelho geniturinário,606923.51
2016-06,Alentejo,Aparelho locomotor,189415.88
2016-06,Lisboa,Aparelho locomotor,1486102.83
2016-06,Alentejo,Correctivos da volémia e das alterações electrolíticas,605.61
2016-06,Algarve,Medicação antialérgica,20485.8
2016-06,Algarve,Medicamentos anti-infecciosos,151975.17
2016-06,Norte,Medicamentos anti-infecciosos,1151933.89
2016-06,Alentejo,Medicamentos usados em afecções cutâneas,26426.7
2016-06,Norte,Medicamentos usados em afecções cutâneas,338498.52
2016-06,Lisboa,Medicamentos usados em afecções oculares,961609.84
2016-06,Algarve,Medicamentos usados em afecções otorrinolaringológicas,6213.85
2016-06,Norte,Medicamentos usados em afecções otorrinolaringológicas,50936.7
2016-06,Centro,Medicamentos usados no tratamento de intoxicações,10753.08
2016-06,Norte,Medicamentos usados no tratamento de intoxicações,4789.55
2016-06,Alentejo,Nutrição e metabolismo,6089.42
2016-06,Lisboa,Nutrição e metabolismo,65595.39
2016-06,Norte,Nutrição e metabolismo,60829.59
2016-06,Algarve,Sangue,307730.26
2016-06,Norte,Sangue,2248617.64
2016-06,Centro,Sistema nervoso central,5053147.84
2016-06,Lisboa,Sistema nervoso central,7348810.0
2016-06,Lisboa,Vacinas e imunoglobulinas,46615.94
2016-07,Alentejo,Aparelho cardiovascular,1147391.77
2016-07,Norte,Aparelho cardiovascular,6560600.36
2016-07,Centro,Aparelho geniturinário,580864.73
2016-07,Alentejo,Correctivos da volémia e das alterações electrolíticas,855.32
2016-07,Alentejo,Hormonas e medicamentos usados no tratamento das doenças endócrinas,1006814.61
2016-07,Centro,Hormonas e medicamentos usados no tratamento das doenças endócrinas,5771276.79
2016-07,Algarve,Medicamentos antineoplásicos e imunomoduladores,38284.55
2016-07,Alentejo,Medicamentos usados em afecções oculares,101652.19
2016-07,Algarve,Medicamentos usados em afecções oculares,88185.66
2016-07,Lisboa,Medicamentos usados em afecções otorrinolaringológicas,79174.18
2016-07,Lisboa,Medicamentos usados no tratamento de intoxicações,27290.89
2016-07,Centro,Nutrição e metabolismo,45014.92
2016-07,Algarve,Sangue,324292.27
2016-07,Algarve,Vacinas e imunoglobulinas,3888.51
2016-08,Norte,Aparelho cardiovascular,6310056.14
2016-08,Alentejo,Aparelho digestivo,135926.08
2016-08,Algarve,Aparelho locomotor,187166.16
2016-08,Algarve,Aparelho respiratório,219021.58
2016-08,Lisboa,Aparelho respiratório,2122824.41
2016-08,Norte,Aparelho respiratório,2136198.89
2016-08,Algarve,Hormonas e medicamentos usados no tratamento das doenças endócrinas,946685.17
2016-08,Lisboa,Hormonas e medicamentos usados no tratamento das doenças endócrinas,7061376.42
2016-08,Norte,Medicação antialérgica,118158.7
2016-08,Norte,Medicamentos antineoplásicos e imunomoduladores,248260.03
2016-08,Alentejo,Medicamentos usados em afecções cutâneas,25804.88
2016-08,Norte,Nutrição e metabolismo,50672.7
2016-08,Algarve,Sangue,331561.62
2016-08,Lisboa,Sangue,2668739.6
2016-08,Norte,Sangue,2256767.91
2016-08,Alentejo,Sistema nervoso central,1061440.87
2016-08,Norte,Sistema nervoso central,5775644.95
2016-09,Alentejo,Aparelho cardiovascular,1156338.52
2016-09,Algarve,Aparelho cardiovascular,882538.4
2016-09,Lisboa,Aparelho cardiovascular,7156850.74
2016-09,Norte,Aparelho cardiovascular,6439900.93
2016-09,Algarve,Aparelho digestivo,104565.87
2016-09,Norte,Aparelho digestivo,1041286.58
2016-09,Algarve,Aparelho geniturinário,87423.8
2016-09,Centro,Aparelho geniturinário,595752.3
2016-09,Centro,Aparelho locomotor,1160026.75
2016-09,Lisboa,Aparelho locomotor,1434997.48
2016-09,Centro,Aparelho respiratório,1568541.4
2016-09,Alentejo,Correctivos da volémia e das alterações electrolíticas,762.83
2016-09,Centro,Medicamentos anti-infecciosos,757616.74
2016-09,Norte,Medicamentos anti-infecciosos,1103623.31
2016-09,Algarve,Medicamentos antineoplásicos e imunomoduladores,35576.76
2016-09,Algarve,Medicamentos usados em afecções cutâneas,35356.54
2016-09,Lisboa,Medicamentos usados em afecções cutâneas,319328.17
2016-09,Lisboa,Medicamentos usados em afecções otorrinolaringológicas,91394.65
2016-09,Centro,Medicamentos usados no tratamento de intoxicações,14757.33
2016-09,Alentejo,Nutrição e metabolismo,5541.73
2016-09,Algarve,Sangue,321824.59
2016-09,Lisboa,Sangue,2902416.2
2016-09,Algarve,Sistema nervoso central,754494.01
2016-09,Centro,Vacinas e imunoglobulinas,26463.68
2016-10,Norte,Aparelho cardiovascular,6584340.67
2016-10,Norte,Aparelho geniturinário,639002.17
2016-10,Algarve,Aparelho locomotor,177344.41
2016-10,Lisboa,Aparelho locomotor,1498666.08
2016-10,Algarve,Aparelho respiratório,221828.55
2016-10,Lisboa,Aparelho respiratório,2605445.26
2016-10,Norte,Aparelho respiratório,2506389.26
2016-10,Lisboa,Correctivos da volémia e das alterações electrolíticas,3726.24
2016-10,Algarve,Hormonas e medicamentos usados no tratamento das doenças endócrinas,900973.21
2016-10,Algarve,Medicamentos anti-infecciosos,146645.62
2016-10,Algarve,Medicamentos usados em afecções cutâneas,37175.44
2016-10,Lisboa,Medicamentos usados no tratamento de intoxicações,18286.73
2016-10,Algarve,Sistema nervoso central,752643.3
2016-10,Lisboa,Vacinas e imunoglobulinas,279257.97
2016-11,Algarve,Aparelho geniturinário,87546.08
2016-11,Lisboa,Aparelho locomotor,1476813.96
2016-11,Algarve,Aparelho respiratório,231313.83
2016-11,Algarve,Hormonas e medicamentos usados no tratamento das doenças endócrinas,909199.54
2016-11,Lisboa,Hormonas e medicamentos usados no tratamento das doenças endócrinas,7618330.13
2016-11,Norte,Hormonas e medicamentos usados no tratamento das doenças endócrinas,7870672.44
2016-11,Lisboa,Medicação antialérgica,217782.46
2016-11,Centro,Medicamentos anti-infecciosos,832549.66
2016-11,Centro,Medicamentos usados em afecções otorrinolaringológicas,49399.56
2016-11,Alentejo,Medicamentos usados no tratamento de intoxicações,4236.39
2016-11,Lisboa,Medicamentos usados no tratamento de intoxicações,30655.14
2016-11,Norte,Medicamentos usados no tratamento de intoxicações,4013.49
2016-11,Algarve,Nutrição e metabolismo,6451.94
2016-11,Algarve,Sistema nervoso central,764843.49
2016-11,Lisboa,Sistema nervoso central,7624215.45
2016-11,Lisboa,Vacinas e imunoglobulinas,206106.69
2016-12,Lisboa,Aparelho cardiovascular,7492610.73
2016-12,Alentejo,Aparelho digestivo,136058.29
2016-12,Centro,Aparelho respiratório,1876110.35
2016-12,Centro,Correctivos da volémia e das alterações electrolíticas,3358.02
2016-12,Lisboa,Hormonas e medicamentos usados no tratamento das doenças endócrinas,7625840.06
2016-12,Alentejo,Medicação antialérgica,30017.42
2016-12,Algarve,Medicamentos anti-infecciosos,177064.21
2016-12,Lisboa,Medicamentos anti-infecciosos,1737775.66
2016-12,Alentejo,Medicamentos usados em afecções cutâneas,24209.42
2016-12,Lisboa,Medicamentos usados em afecções cutâneas,318679.97
2016-12,Algarve,Medicamentos usados em afecções oculares,78408.48
2016-12,Centro,Medicamentos usados em afecções oculares,629656.8
2016-12,Centro,Medicamentos usados em afecções otorrinolaringológicas,57178.15
2016-12,Alentejo,Sistema nervoso central,1033880.59
2016-12,Algarve,Sistema nervoso central,766688.81
2016-12,Centro,Sistema nervoso central,5133549.6
2016-12,Lisboa,Sistema nervoso central,7445219.05
2016-12,Lisboa,Vacinas e imunoglobulinas,103449.71
2017-01,Algarve,Aparelho cardiovascular,883141.45
2017-01,Lisboa,Aparelho cardiovascular,7516798.77
2017-01,Lisboa,Aparelho digestivo,1064440.36
2017-01,Centro,Aparelho geniturinário,609383.09
2017-01,Lisboa,Aparelho geniturinário,647274.15
2017-01,Norte,Aparelho geniturinário,644114.24
2017-01,Algarve,Aparelho locomotor,163513.37
2017-01,Centro,Correctivos da volémia e das alterações electrolíticas,1719.9
2017-01,Algarve,Hormonas e medicamentos usados no tratamento das doenças endócrinas,905526.05
2017-01,Alentejo,Medicamentos anti-infecciosos,182121.79
2017-01,Centro,Medicamentos anti-infecciosos,1080144.8
2017-01,Norte,Medicamentos anti-infecciosos,1553873.28
2017-01,Centro,Medicamentos usados em afecções cutâneas,212404.64
2017-01,Norte,Medicamentos usados em afecções cutâneas,319013.67
2017-01,Norte,Medicamentos usados em afecções oculares,681757.83
2017-01,Norte,Medicamentos usados no tratamento de intoxicações,3368.76
2017-01,Lisboa,Sistema nervoso central,7533640.04
2017-02,Lisboa,Aparelho cardiovascular,6865553.33
2017-02,Norte,Aparelho digestivo,989418.95
2017-02,Centro,Aparelho geniturinário,555745.07
2017-02,Norte,Aparelho geniturinário,591207.76
2017-02,Norte,Aparelho locomotor,1206191.59
2017-02,Lisboa,Correctivos da volémia e das alterações electrolíticas,2603.27
2017-02,Algarve,Medicação antialérgica,19566.29
2017-02,Centro,Medicação antialérgica,102900.23
2017-02,Centro,Medicamentos anti-infecciosos,837871.07
2017-02,Algarve,Medicamentos usados em afecções oculares,74818.06
2017-02,Algarve,Medicamentos usados em afecções otorrinolaringológicas,6607.74
2017-02,Alentejo,Medicamentos usados no tratamento de intoxicações,1481.9
2017-02,Centro,Medicamentos usados no tratamento de intoxicações,10837.75
2017-02,Norte,Medicamentos usados no tratamento de intoxicações,804.52
2017-02,Norte,Sangue,2432184.09
2017-02,Algarve,Sistema nervoso central,706356.78
2017-02,Centro,Vacinas e imunoglobulinas,24704.68
2017-03,Alentejo,Aparelho cardiovascular,1253990.73
2017-03,Lisboa,Aparelho geniturinário,697769.65
2017-03,Norte,Aparelho geniturinário,692209.6
2017-03,Norte,Aparelho locomotor,1414654.55
2017-03,Centro,Correctivos da volémia e das alterações electrolíticas,3988.01
2017-03,Norte,Correctivos da volémia e das alterações electrolíticas,2915.36
2017-03,Algarve,Medicação antialérgica,24217.75
2017-03,Algarve,Medicamentos antineoplásicos e imunomoduladores,37793.33
2017-03,Alentejo,Medicamentos usados em afecções cutâneas,30313.15
2017-03,Algarve,Medicamentos usados em afecções cutâneas,40199.05
